Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_ERJ-2GEJ1R0X,R,1 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R0X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R0X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R1X,R,1.1 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.1 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R1X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R1X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R2X,R,1.2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.2 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R2X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R2X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R3X,R,1.3 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.3 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R3X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R3X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R5X,R,1.5 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.5 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R5X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R5X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R6X,R,1.6 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.6 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R6X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R6X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ1R8X,R,1.8 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 1.8 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ1R8X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ1R8X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ2R0X,R,2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 2 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ2R0X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ2R0X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ2R2X,R,2.2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 2.2 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ2R2X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ2R2X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ2R4X,R,2.4 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 2.4 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ2R4X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ2R4X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ2R7X,R,2.7 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 2.7 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ2R7X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ2R7X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ3R0X,R,3 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 3 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ3R0X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ3R0X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ3R3X,R,3.3 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 3.3 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ3R3X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ3R3X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ3R6X,R,3.6 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 3.6 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ3R6X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ3R6X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ3R9X,R,3.9 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 3.9 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ3R9X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ3R9X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
